Patch,Vial Color,Date,Time (military),Total Volume,Volume Sampled,Number,Notes
B9A,Amber,10/27/16,,4.75ml,.15ml,58,
B10A,Amber,10/27/16,,4.75ml,.15ml,88,
B1A,Amber,10/29/16,15:00,4.75ml,.15ml,137,
B2A,Amber,10/29/16,,4.75ml,.15ml,104,
B3A,Amber,10/29/16,,4.75ml,.15ml,76,
B4A,Amber,10/29/16,,4.75ml,.15ml,124,
B5A,Amber,10/29/16,,4.75ml,.15ml,72,
B6A,Amber,10/29/16,,4.75ml,.15ml,145,
B7A,Amber,10/29/16,,4.75ml,.15ml,77,
B8A,Amber,10/29/16,,4.75ml,.15ml,69,
B9A,Amber,10/29/16,,4.75ml,.15ml,53,
B10A,Amber,10/29/16,,4.75ml,.15ml,92,
B1A,Amber,11/1/16,10:40,4.75ml,.15ml,127,
B2A,Amber,11/1/16,,4.75ml,.15ml,120,
B3A,Amber,11/1/16,,4.75ml,.15ml,68,
B4A,Amber,11/1/16,,4.75ml,.15ml,114,
B5A,Amber,11/1/16,,4.75ml,.15ml,73,
B6A,Amber,11/1/16,,4.75ml,.15ml,134,
B7A,Amber,11/1/16,,4.75ml,.15ml,92,
B8A,Amber,11/1/16,,4.75ml,.15ml,69,
B9A,Amber,11/1/16,,4.75ml,.15ml,57,
B10A,Amber,11/1/16,,4.75ml,.15ml,82,
B1A,Amber,11/3/16,10:20,4.75ml,.15ml,138,
B2A,Amber,11/3/16,,4.75ml,.15ml,104,
B3A,Amber,11/3/16,,4.75ml,.15ml,64,
B4A,Amber,11/3/16,,4.75ml,.15ml,103,
B5A,Amber,11/3/16,,4.75ml,.15ml,69,
B6A,Amber,11/3/16,,4.75ml,.15ml,141,
B7A,Amber,11/3/16,,4.75ml,.15ml,86,
B8A,Amber,11/3/16,,4.75ml,.15ml,79,
B9A,Amber,11/3/16,,4.75ml,.15ml,62,
B10A,Amber,11/3/16,,4.75ml,.15ml,71,
B1A,Amber,11/5/16,14:15,4.75ml,.15ml,128,
B2A,Amber,11/5/16,,4.75ml,.15ml,86,
B3A,Amber,11/5/16,,4.75ml,.15ml,54,
B4A,Amber,11/5/16,,4.75ml,.15ml,120,
B5A,Amber,11/5/16,,4.75ml,.15ml,71,
B6A,Amber,11/5/16,,4.75ml,.15ml,164,
B7A,Amber,11/5/16,,4.75ml,.15ml,81,
B8A,Amber,11/5/16,,4.75ml,.15ml,68,
B9A,Amber,11/5/16,,4.75ml,.15ml,44,
B10A,Amber,11/5/16,,4.75ml,.15ml,87,
B1A,Amber,11/8/16,10:35,4.75ml,.15ml,129,
B2A,Amber,11/8/16,,4.75ml,.15ml,118,
B3A,Amber,11/8/16,,4.75ml,.15ml,68,
B4A,Amber,11/8/16,,4.75ml,.15ml,119,
B5A,Amber,11/8/16,,4.75ml,.15ml,110,
B6A,Amber,11/8/16,,4.75ml,.15ml,157,
B7A,Amber,11/8/16,,4.75ml,.15ml,75,
B8A,Amber,11/8/16,,4.75ml,.15ml,72,
B9A,Amber,11/8/16,,4.75ml,.15ml,70,
B10A,Amber,11/8/16,,4.75ml,.15ml,89,
B1A,Amber,11/10/16,10:40,4.75ml,.15ml,136,
B2A,Amber,11/10/16,,4.75ml,.15ml,107,
B3A,Amber,11/10/16,,4.75ml,.15ml,76,
B4A,Amber,11/10/16,,4.75ml,.15ml,133,
B5A,Amber,11/10/16,,4.75ml,.15ml,92,
B6A,Amber,11/10/16,,4.75ml,.15ml,149,
B7A,Amber,11/10/16,,4.75ml,.15ml,81,
B8A,Amber,11/10/16,,4.75ml,.15ml,75,
B9A,Amber,11/10/16,,4.75ml,.15ml,62,
B10A,Amber,11/10/16,,4.75ml,.15ml,67,
B1A,Amber,11/12/16,10:00,4.75ml,.15ml,118,
B2A,Amber,11/12/16,,4.75ml,.15ml,103,
B3A,Amber,11/12/16,,4.75ml,.15ml,68,
B4A,Amber,11/12/16,,4.75ml,.15ml,122,
B5A,Amber,11/12/16,,4.75ml,.15ml,94,
B6A,Amber,11/12/16,,4.75ml,.15ml,132,
B7A,Amber,11/12/16,,4.75ml,.15ml,89,
B8A,Amber,11/12/16,,4.75ml,.15ml,80,
B9A,Amber,11/12/16,,4.75ml,.15ml,72,
B10A,Amber,11/12/16,,4.75ml,.15ml,79,
